Analysis_Mode,NN_Models_Included,Total_Models,Model,Average_MAE,Wins,Win_Rate_%
Full,Yes,9,AutoETS,0.11918519389698899,32,177.77777777777777
Full,Yes,9,weekly_seasonality,0.1223422409348202,35,194.44444444444443
Full,Yes,9,TimeGPT,0.12463800024607324,34,188.88888888888889
Full,Yes,9,AutoARIMA,0.1277257889437216,28,155.55555555555557
Full,Yes,9,monthly_seasonality,0.14227503484920312,24,133.33333333333331
Full,Yes,9,LGBMRegressor,0.14733032836039572,31,172.22222222222223
Full,Yes,9,Naive,0.1526144772131125,31,172.22222222222223
Full,Yes,9,AutoNBEATS-median,0.3492252095615426,1,5.555555555555555
Full,Yes,9,AutoNHITS-median,0.43493878287624876,0,0.0
