unique_id,metric,Naive,weekly_seasonality,monthly_seasonality,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS-median,AutoNHITS-median,TimeGPT,best_model
hotel_0,bias,-0.05177101704879483,0.033472957084068194,0.008156966490299825,0.008764774047595505,0.013340521884413016,0.015560804241434084,0.05719637810671458,0.20272150602211397,0.03216096598691948,Naive
hotel_0,mae,0.1716269841269841,0.14171810699588475,0.17923280423280422,0.13926655240668528,0.1578504526071622,0.17053155401424588,0.1997346032699948,0.2901726439463819,0.14816327987874778,AutoETS
hotel_0,rmse,0.21482479430787338,0.19287553472011845,0.23410409219008518,0.17784825456445466,0.2040281707950589,0.20710040026406104,0.2584363861116777,0.367251451204315,0.18065407506246475,AutoETS
hotel_105,bias,-0.12850029949086553,-0.018362533692722376,-0.016715333932315064,-0.04021888162490846,-0.03172873561848461,-0.053704415441093854,0.008714698561319121,-0.07924146360825657,-0.028531095043800542,Naive
hotel_105,mae,0.19045747229709495,0.13138289907157832,0.14081686133572927,0.1319214620663294,0.15022110440739717,0.14308501157608652,0.16523465299133716,0.20545553938826247,0.12480472695754719,TimeGPT
hotel_105,rmse,0.22310347495211458,0.16509831521543145,0.17545905674805087,0.16036879061551929,0.18170931896585593,0.17247070116458466,0.22438594171248727,0.2737960936980728,0.15124477893308197,TimeGPT
hotel_112,bias,0.010993303571428569,0.01263020833333333,0.007273065476190477,0.018172249974270076,0.0034643127403498133,-0.029684134056082483,-0.03576649906379836,-0.006132984746779716,0.008248372291666663,AutoNBEATS-median
hotel_112,mae,0.10024181547619049,0.10678943452380953,0.11065848214285713,0.09235807964288144,0.0927285643855993,0.09921295991167495,0.15685584428054947,0.13220532488610065,0.10294341961309524,AutoETS
hotel_112,rmse,0.12385146768148118,0.13670902449795452,0.13993338142903275,0.11486561366739673,0.11394544561481823,0.11999027115151419,0.1964278179980189,0.1703275626769745,0.12830021180135845,AutoARIMA
hotel_126,bias,-0.10473581863024094,-0.02462767975716183,-0.03250094858660595,-0.07577850546111213,-0.07887476337342973,-0.05802078870709265,-0.041770784439827555,-0.08640206870228037,-0.04370660841870614,Naive
hotel_126,mae,0.14035524568393093,0.08400920129007779,0.09653054448871183,0.11751093886783064,0.11675288760281617,0.08863129733278001,0.09371919279910655,0.1523495279019301,0.11257705719028648,weekly_seasonality
hotel_126,rmse,0.16496534487264933,0.1272681492641256,0.14848601989903024,0.14386356145366286,0.1439741152906062,0.10724429238218629,0.12679568159411347,0.2253350531252119,0.13798548302373678,LGBMRegressor
hotel_133,rmse,0.18144143232031965,0.15694252506148135,0.16507834330767837,0.13234195724134407,0.14387412186403797,0.1257566255402081,0.19915920690155953,0.25186706635083544,0.13953281303246529,LGBMRegressor
hotel_133,bias,-0.10899687743950039,-0.01005074160811865,-0.008489461358313818,0.03139847874082265,0.027248713443157244,-0.04197940765989843,-0.03803309259076866,-0.02299973654366628,-0.005216041608606549,Naive
hotel_133,mae,0.15417642466822792,0.12343871975019516,0.12812256049960966,0.10641844111215909,0.11599865915687563,0.09905047912168981,0.16377942733449175,0.2010889613054326,0.11045550235021467,LGBMRegressor
